0;0;0;0;land;false;unknown;0
1;246;101;190;land;false;desert;1
2;221;227;191;land;false;mountain;1
3;196;85;240;land;false;plains;1
4;235;244;232;land;false;desert;1
5;172;163;195;land;false;plains;1
6;244;46;230;land;false;hills;1
7;174;224;107;land;false;plains;1
8;228;207;179;land;false;forest;1
9;246;233;232;land;false;mountain;1
10;254;228;213;land;false;mountain;1
11;244;221;59;land;false;desert;1
12;232;183;236;land;false;desert;1
13;237;97;202;land;true;plains;1
14;201;168;165;land;false;hills;1
15;186;213;227;land;false;hills;1
16;119;151;238;land;true;plains;1
17;246;239;96;land;false;plains;1
18;245;52;208;land;false;plains;1
19;181;219;148;land;false;hills;1
20;170;211;225;land;false;plains;1
21;57;218;246;land;false;plains;1
22;249;75;180;land;false;plains;1
23;231;232;120;land;false;desert;1
24;238;237;100;land;false;desert;1
25;213;218;75;land;false;mountain;1
26;133;250;216;land;false;mountain;1
27;130;243;231;land;false;desert;1
28;79;250;206;land;false;desert;1
29;193;225;117;land;false;mountain;1
30;157;200;172;land;false;plains;1
31;198;241;99;land;false;desert;1
32;202;243;165;land;false;forest;1
33;115;136;253;land;false;desert;1
34;114;211;248;land;false;plains;1
35;172;220;135;land;true;plains;1
36;130;224;242;land;false;plains;1
37;136;251;245;land;false;mountain;1
38;214;219;248;land;false;mountain;1
39;182;206;180;land;false;plains;1
40;203;96;210;land;false;plains;1
41;188;173;253;land;false;plains;1
42;234;235;133;land;false;plains;1
43;248;191;92;land;false;desert;1
44;100;246;185;land;false;forest;1
45;196;207;140;land;false;plains;1
46;132;215;162;land;false;desert;1
47;210;79;217;land;false;plains;1
48;177;224;146;land;false;mountain;1
49;177;234;171;land;true;plains;1
50;250;105;192;land;false;desert;1
51;216;152;223;land;false;plains;1
52;189;102;251;land;false;hills;1
53;234;116;227;land;false;forest;1
54;178;183;208;land;false;mountain;1
55;165;225;195;land;false;plains;1
56;254;193;188;land;false;plains;1
57;198;207;143;land;false;plains;1
58;189;229;100;land;false;mountain;1
59;245;84;193;land;false;mountain;1
60;103;209;208;land;false;forest;1
61;152;251;179;land;false;mountain;1
62;79;244;188;land;false;plains;1
63;212;92;239;land;false;forest;1
64;190;241;144;land;false;desert;1
65;214;200;111;land;false;desert;1
66;207;243;232;land;false;desert;1
67;247;130;193;land;false;plains;1
68;232;61;252;land;true;desert;1
69;143;165;204;land;false;desert;1
70;238;40;227;land;false;desert;1
71;219;223;114;land;false;mountain;1
72;150;196;248;land;false;hills;1
73;220;191;210;land;false;plains;1
74;116;239;196;land;false;desert;1
75;187;220;245;land;false;plains;1
76;241;210;129;land;false;mountain;1
77;147;133;233;land;false;mountain;1
78;153;238;224;land;false;plains;1
79;240;165;165;land;true;desert;1
80;232;237;250;land;false;mountain;1
81;204;210;185;land;false;plains;1
82;236;194;217;land;false;desert;1
83;180;81;252;land;false;mountain;1
84;61;235;239;land;false;plains;1
85;247;136;156;land;false;hills;1
86;250;159;137;land;false;plains;1
87;242;97;194;land;false;desert;1
88;201;127;186;land;false;desert;1
89;219;212;81;land;false;hills;1
